COURSE NO.,COURSE TITLE,SECTION,INSTRUCTOR,ROOM,DAYS,HOURS
CS F372,OPERATING SYSTEMS,1,BARSHA MITRA,F102,T Th,9
CS F372,OPERATING SYSTEMS,1,Barsha Mitra,F102,S,3
CS F372,Tutorial,1,Paresh Saxena,A019,W,1
CS F372,Tutorial,2,Paresh Saxena,D312,F,5
CS F372,Tutorial,3,DipanJan Chakraborty,D313,F,1
CS F372,Tutorial,4,DipanJan Chakraborty,D312,W,5
CS F407,ARTIFICIAL INTELLIGENCE,1,JABEZ J CHRISTOPHER,F106,M W F,3
CS F425,DEEP LEARNING,1,PARESH SAXENA,F107,M W F,8
CS F429,NATURAL LANGUAGE PROCESSING,1,ARUNA MALAPATI,F107,M W F,2
CS F433,COMPUTATIONAL NEUROSCIENCE,1,RAMASWAMY VENKATAKR,I111,M W F,9
CS F441,SEL TOPICS FROM COMP SC,1,TATHAGATA RAY,F101,M W F,8
CS G519,SOCIAL MEDIA ANALYTICS,1,JABEZ J CHRISTOPHER,F101,M W F,10
CS G519,Practical,1,Jabez J Christopher,LAB,T,8 9
CS G525,ADV COMPUTER NETWORKS,1,NIKUMANI CHOUDHURY,I111,T Th S,4
CS G525,Practical,1,Nikumani Choudhury,I014,M W,8 9
CS G526,ADV ALGORITHMS & COMPLEXITY,1,APURBA DAS,I111,M W F,4
CS G526,Practical,1,Apurba Das,I014,T Th,2 3
CS G527,CLOUD COMPUTING,1,SUBHRAKANTA PANDA,I112,M W F,3
CS G553,RECONFIGURABLE COMPUTING,1,S K SAHOO,F101,M W F,6
CS G553,Practical,1,S K Sahoo,LAB,Th,7 8
CS G623,ADVANCED OPERAT SYSTEMS,1,PRAGATI SHRIVASTAVA,I113,M W F,5
CS G623,Practical,1,Pragati Shrivastava,I014,T Th,8 9
DE G531,PRODUCT DESIGN,1,NITIN RAMESH K,G206,T Th,5
DE G531,PRODUCT DESIGN,1,Nitin Ramesh K,G206,S,1
DE G531,Practical,1,Aarjoo Jaimin,D208 C,T Th,7 8
DE G611,DYNAMICS & VIBRATION,1,G R SABAREESH,F205,M W F,3
DE G611,Practical,1,G R Sabareesh,LAB,M W,7 8
DE G631,MATERIALS TECH AND TESTING,1,PRABAKARAN SARAVANA,G208,M W F,2
DE G631,Practical,1,Danavath Balu,LAB,M W,4 5
ECE F211,ELECTRICAL MACHINES,1,ALIVELU MANGA PARIMI,F105,M W F,2
ECE F211,ELECTRICAL MACHINES,2,Ankur Bhattacharjee,F104,M W F,2
ECE F211,Practical,1,Alivelu Manga Parimi,WS,T,2 3
ECE F211,Practical,2,Alivelu Manga Parimi,WS,Th,2 3
ECE F211,Practical,3,Ankur Bhattacharjee,WS,M,6 7
ECE F211,Practical,4,N Praneeth,WS,W,6 7
ECE F211,Practical,5,Manoj Samal,WS,F,6 7
ECE F211,Practical,6,N Praneeth,WS,T,6 7
ECE F211,Practical,7,Gorityala Aishvaria,WS,Th,6 7
ECE F211,Practical,8,Kurakula Anudeep,WS,S,2 3
ECE F211,Tutorial,1,Alivelu Manga Parimi,I111,Th,1
ECE F211,Tutorial,2,Alivelu Manga Parimi,I212,T,9
ECE F211,Tutorial,3,Ankur Bhattacharjee,I213,S,1
ECE F211,Tutorial,4,Ankur Bhattacharjee,I213,T,9
ECE F211,Tutorial,5,Sudha Radhika,I221,S,1
ECE F211,Tutorial,6,Sudha Radhika,I221,T,9
ECE F211,Tutorial,7,TO BE ANNOUNCED,I222,S,1
ECE F211,Tutorial,8,TO BE ANNOUNCED,I222,T,9
ECE F212,ELECTROMAGNETIC THEO I,1,SASHIDEEP GUTTI,F107,T Th S,4
ECE F212,ELECTROMAGNETIC THEO I,2,VSN Murthy,F108,T Th S,4
ECE F212,ELECTROMAGNETIC THEO I,3,Subhash N. Karbelkar,G205,T Th S,4
ECE F212,ELECTROMAGNETIC THEO I,4,Rahul Nigam,G206,T Th S,4
ECE F212,ELECTROMAGNETIC THEO I,5,Swastik Bhattacharya,G207,T Th S,4
ECE F212,ELECTROMAGNETIC THEO I,6,K V Shiv Chaitanya,G208,T Th S,4
ECE F212,Tutorial,1,Sashideep Gutti,F107,T,1
ECE F212,Tutorial,2,VSN Murthy,F108,T,1
ECE F212,Tutorial,3,Subhash N. Karbelkar,G205,T,1
ECE F212,Tutorial,4,Rahul Nigam,G206,T,1
ECE F212,Tutorial,5,Swastik Bhattacharya,G207,T,1
ECE F212,Tutorial,6,K V Shiv Chaitanya,G208,T,1
ECE F214,ELECTRONIC DEVICES,1,SAYAN KANUNGO,F104,M W F,8
ECE F214,ELECTRONIC DEVICES,2,Parikshit Parshuram Sahatiy,F105,M W F,8
ECE F214,Tutorial,1,Sayan Kanungo,I210,Th,1
ECE F214,Tutorial,2,Sayan Kanungo,I210,M,1
ECE F214,Tutorial,3,Parikshit Parshuram Sahatiy,I211,Th,1
ECE F214,Tutorial,4,Surya Shankar Dan,I212,Th,1
ECE F214,Tutorial,5,Surya Shankar Dan,I212,M,1
ECE F214,Tutorial,6,TO BE ANNOUNCED,I213,Th,1
ECE F214,Tutorial,7,TO BE ANNOUNCED,I211,M,1
ECE F214,Tutorial,8,TO BE ANNOUNCED,I213,M,1
ECE F215,DIGITAL DESIGN,1,JOYJIT MUKHERJEE,F102,M W F,3
ECE F215,DIGITAL DESIGN,2,BVVSN Prabhakar Rao,F105,M W F,3
ECE F215,Practical,1,BVVSN Prabhakar Rao,I012,T,2 3
ECE F215,Practical,2,S K Chatterjee,I012,S,2 3
ECE F215,Practical,3,S K Chatterjee,I012,Th,2 3
ECE F215,Practical,4,Joyjit Mukherjee,I013,Th,2 3
ECE F215,Practical,5,Joyjit Mukherjee,I012,T,6 7
ECE F215,Practical,6,Ankur Bhattacharjee,I013,T,2 3
ECE F215,Practical,7,Gowtham Polumati,I012,M,6 7
ECE F215,Practical,8,Naresh Bahadursha,I013,S,2 3
ECE F215,Practical,9,Shuvra Jyoti Bose,I013,M,6 7
ECE F215,Practical,10,Vanmathi S,I012,W,6 7
ECE F215,Practical,11,Bishal kumar keshari,I013,W,6 7
ECE F215,Practical,12,Parvathy nair,I012,F,6 7
ECE F215,Practical,13,Naresh Bahadursha,I013,F,6 7
ECE F215,Practical,14,Vanmathi S,I012,Th,6 7
ECE F215,Practical,15,Gowtham Polumati,I013,Th,6 7
ECE F215,Practical,16,Manish Laxminarayan Bhaiy,I013,T,6 7
ECE F215,Tutorial,1,Joyjit Mukherjee,I113,T,9
ECE F215,Tutorial,2,Joyjit Mukherjee,I113,S,1
ECE F215,Tutorial,3,BVVSN Prabhakar Rao,I114,S,1
ECE F215,Tutorial,4,BVVSN Prabhakar Rao,I114,T,9
ECE F215,Tutorial,5,Soumya J,I122,S,1
ECE F215,Tutorial,6,Soumya J,I122,T,9
ECE F215,Tutorial,7,Sourav Nandi,I210,S,1
ECE F215,Tutorial,8,Sourav Nandi,I210,T,9
ECE F215,Tutorial,9,Subhradeep Pal,I211,S,1
ECE F215,Tutorial,10,Subhradeep Pal,I211,T,9
ECE F311,COMMUNICATION SYSTEMS,1,PRASANT KUMAR P,F105,T Th S,3
ECE F311,COMMUNICATION SYSTEMS,2,Niladri Das,F104,T Th S,3
ECE F311,Practical,1,Niladri Das,H106,M,4 5
ECE F311,Practical,2,Niladri Das,H106,W,4 5
ECE F311,Practical,3,Runa Kumari,H106,T,7 8
ECE F311,Practical,4,Prasant Kumar P,H106,Th,7 8
ECE F311,Practical,5,Atri Mukhopadhyay,H106,F,4 5
ECE F311,Practical,6,Atri Mukhopadhyay,H106,M,6 7
ECE F311,Tutorial,1,Niladri Das,I114,M,1
ECE F311,Tutorial,2,Runa Kumari,I114,F,1
ECE F311,Tutorial,3,Runa Kumari,I114,W,1
ECE F311,Tutorial,4,Prasant Kumar P,I122,M,1
ECE F311,Tutorial,5,Prasant Kumar P,I122,W,1
ECE F314,EM FILEDS & MICRO ENGG,1,HARISH VIJAY DIXIT,F105,T Th,9 10
ECE F314,Tutorial,1,Harish Vijay Dixit,I111,F,1
ECE F314,Tutorial,2,Shaik sultan,I112,F,1
ECE F314,Tutorial,3,Shaik sultan,I210,W,1
ECE F424,SMART GRID FOR SUSTAINABLE ENERGY,1,PRATYUSH CHAKRABORT,I112,T Th S,4
ECE F434,DIGITAL SIGNAL PROCESS,1,VENKATESWARAN R,F104,T Th S,5
ECE F434,Practical,1,Venkateswaran R,I011,F,4 5
ECE F434,Practical,2,Himanshi Awasthi,I011,T,7 8
ECE F434,Practical,3,Rajesh Kumar Tripathy,I011,W,4 5
ECE F434,Practical,4,Rajesh Kumar Tripathy,I011,M,4 5
ECE F434,Tutorial,1,Venkateswaran R,I221,M,1
ECE F434,Tutorial,2,Venkateswaran R,I221,W,1
ECE F434,Tutorial,3,S K Sahoo,I222,M,1
ECON F211,PRINCIPLES OF ECONOMICS,1,SUDATTA BANERJEE,F207,M W F,8
ECON F211,PRINCIPLES OF ECONOMICS,2,Archana Srivastava,F104,M W F,10
ECON F211,PRINCIPLES OF ECONOMICS,3,Mini Thomas,F107,M W F,10
ECON F211,PRINCIPLES OF ECONOMICS,4,Rishi Kumar,F106,M W F,10
ECON F211,Tutorial,1,Sudatta Banerjee,G101,W,1
ECON F211,Tutorial,2,Archana Srivastava,F207,W,1
ECON F211,Tutorial,3,Mini Thomas,G102,W,1
ECON F211,Tutorial,4,Rishi Kumar,G207,W,1
ECON F212,FUNDA OF FIN AND ACCOUNT,1,T NAGARAJU,F207,T Th S,2
ECON F212,FUNDA OF FIN AND ACCOUNT,2,Sunny Kumar Singh,F205,T Th S,2
ECON F213,MATHEMATIC & STAT METHOD,1,DUSHYANT KUMAR,F207,T Th S,4
ECON F213,Tutorial,1,Dushyant Kumar,F207,T,1
ECON F214,ECONOMIC ENV OF BUSINESS,1,SUDATTA BANERJEE,F207,M W F,3
ECON F214,Tutorial,1,Sudatta Banerjee,F207,Th,1
ECON F215,COMPUTATIONAL METHODS FOR ECON,1,RISHI KUMAR,J107,T Th S,4
ECON F242,MICROECONOMICS,1,VIVEKANANDA MUKHERJE,J217,T Th S,2
ECON F311,INTERNATIONAL ECONOMICS,1,ARCHANA SRIVASTAVA,G208,T Th S,2
ECON F311,Tutorial,1,Archana Srivastava,G208,T,8
ECON F312,MONEY BANKING & FIN MARKETS,1,SUNNY KUMAR SINGH,G208,M W F,4
ECON F312,Tutorial,1,Sunny Kumar Singh,G208,Th,8
ECON F313,ISSUES IN ECONOMIC DEV,1,DURGESH C PATHAK,G208,M W F,9
ECON F313,Tutorial,1,Durgesh C Pathak,G208,Th,9
ECON F315,FINANCIAL MANAGEMENT,1,NIVEDITA SINHA,F208,T Th S,2
ECON F345,BEHAVIORAL ECONOMICS,1,DUSHYANT KUMAR,J217,M W F,9
ECON F351,INDIAN ECONOMIC DEV,1,DURGESH C PATHAK,J217,T Th S,4
ECON F354,DERIVATIVES & RISK MGMT,1,SHREYA BISWAS,F208,T Th S,4
ECON F355,BUSS ANAL & VALUATION,1,NIVEDITA SINHA,F208,M W F,2
ECON F412,SECUR ANAL & PORTFOL MGT,1,SHREYA BISWAS,F208,M W F,8
ECON F412,SECUR ANAL & PORTFOL MGT,2,C H Yaganti,G105,M W F,8
ECON F415,NEW VENTURE CREATION,1,ARCHANA SRIVASTAVA,F101,T Th,10 11
ECON F434,INTERNATIONAL BUSINESS,1,MINI THOMAS,J217,M W F,3
EEE F111,ELECTRICAL SCIENCES,1,STP SRINIVAS,F105,T Th S,2
EEE F111,ELECTRICAL SCIENCES,2,Mithun Mondal,F103,M W F,9
EEE F111,Tutorial,1,STP Srinivas,I111,T,7
EEE F111,Tutorial,2,STP Srinivas,I111,Th,9
EEE F111,Tutorial,3,STP Srinivas,I112,F,4
EEE F111,Tutorial,4,Mithun Mondal,I112,T,7
EEE F111,Tutorial,5,Mithun Mondal,I112,Th,9
EEE F111,Tutorial,6,Mithun Mondal,I112,W,4
EEE F111,Tutorial,7,Amit Kumar Panda,I122,T,1
EEE F111,Tutorial,8,Amit Kumar Panda,I122,Th,1
EEE F111,Tutorial,9,Mithun Mondal,I112,M,4
EEE F211,ELECTRICAL MACHINES,1,ALIVELU MANGA PARIMI,F105,M W F,2
EEE F211,ELECTRICAL MACHINES,2,Ankur Bhattacharjee,F104,M W F,2
EEE F211,Practical,1,Alivelu Manga Parimi,WS,T,2 3
EEE F211,Practical,2,Alivelu Manga Parimi,WS,Th,2 3
EEE F211,Practical,3,Ankur Bhattacharjee,WS,M,6 7
EEE F211,Practical,4,N Praneeth,WS,W,6 7
EEE F211,Practical,5,Manoj Samal,WS,F,6 7
EEE F211,Practical,6,N Praneeth,WS,T,6 7
EEE F211,Practical,7,Gorityala Aishvaria,WS,Th,6 7
EEE F211,Practical,8,Kurakula Anudeep,WS,S,2 3
EEE F211,Tutorial,1,Alivelu Manga Parimi,I111,Th,1
EEE F211,Tutorial,2,Alivelu Manga Parimi,I212,T,9
EEE F211,Tutorial,3,Ankur Bhattacharjee,I213,S,1
EEE F211,Tutorial,4,Ankur Bhattacharjee,I213,T,9
EEE F211,Tutorial,5,Sudha Radhika,I221,S,1
EEE F211,Tutorial,6,Sudha Radhika,I221,T,9
EEE F211,Tutorial,7,TO BE ANNOUNCED,I222,S,1
EEE F211,Tutorial,8,TO BE ANNOUNCED,I222,T,9
EEE F212,ELECTROMAGNETIC THEO I,1,SASHIDEEP GUTTI,F107,T Th S,4
EEE F212,ELECTROMAGNETIC THEO I,2,VSN Murthy,F108,T Th S,4
EEE F212,ELECTROMAGNETIC THEO I,3,Subhash N. Karbelkar,G205,T Th S,4
EEE F212,ELECTROMAGNETIC THEO I,4,Rahul Nigam,G206,T Th S,4
EEE F212,ELECTROMAGNETIC THEO I,5,Swastik Bhattacharya,G207,T Th S,4
EEE F212,ELECTROMAGNETIC THEO I,6,K V Shiv Chaitanya,G208,T Th S,4
EEE F212,Tutorial,1,Sashideep Gutti,F107,T,1
EEE F212,Tutorial,2,VSN Murthy,F108,T,1
EEE F212,Tutorial,3,Subhash N. Karbelkar,G205,T,1
EEE F212,Tutorial,4,Rahul Nigam,G206,T,1
EEE F212,Tutorial,5,Swastik Bhattacharya,G207,T,1
EEE F212,Tutorial,6,K V Shiv Chaitanya,G208,T,1
EEE F214,ELECTRONIC DEVICES,1,SAYAN KANUNGO,F104,M W F,8
EEE F214,ELECTRONIC DEVICES,2,Parikshit Parshuram Sahatiy,F105,M W F,8
EEE F214,Tutorial,1,Sayan Kanungo,I210,Th,1
EEE F214,Tutorial,2,Sayan Kanungo,I210,M,1
EEE F214,Tutorial,3,Parikshit Parshuram Sahatiy,I211,Th,1
EEE F214,Tutorial,4,Surya Shankar Dan,I212,Th,1
EEE F214,Tutorial,5,Surya Shankar Dan,I212,M,1
EEE F214,Tutorial,6,TO BE ANNOUNCED,I213,Th,1
EEE F214,Tutorial,7,TO BE ANNOUNCED,I211,M,1
EEE F214,Tutorial,8,TO BE ANNOUNCED,I213,M,1
EEE F215,DIGITAL DESIGN,1,JOYJIT MUKHERJEE,F102,M W F,3
EEE F215,DIGITAL DESIGN,2,BVVSN Prabhakar Rao,F105,M W F,3
EEE F215,Practical,1,BVVSN Prabhakar Rao,I012,T,2 3
EEE F215,Practical,2,S K Chatterjee,I012,S,2 3
EEE F215,Practical,3,S K Chatterjee,I012,Th,2 3
EEE F215,Practical,4,Joyjit Mukherjee,I013,Th,2 3
EEE F215,Practical,5,Joyjit Mukherjee,I012,T,6 7
EEE F215,Practical,6,Ankur Bhattacharjee,I013,T,2 3
EEE F215,Practical,7,Gowtham Polumati,I012,M,6 7
EEE F215,Practical,8,Naresh Bahadursha,I013,S,2 3
EEE F215,Practical,9,Shuvra Jyoti Bose,I013,M,6 7
EEE F215,Practical,10,Vanmathi S,I012,W,6 7
EEE F215,Practical,11,Bishal kumar keshari,I013,W,6 7
EEE F215,Practical,12,Parvathy nair,I012,F,6 7
EEE F215,Practical,13,Naresh Bahadursha,I013,F,6 7
EEE F215,Practical,14,Vanmathi S,I012,Th,6 7
EEE F215,Practical,15,Gowtham Polumati,I013,Th,6 7
EEE F215,Practical,16,Manish Laxminarayan Bhaiy,I013,T,6 7
EEE F215,Tutorial,1,Joyjit Mukherjee,I113,T,9
EEE F215,Tutorial,2,Joyjit Mukherjee,I113,S,1
EEE F215,Tutorial,3,BVVSN Prabhakar Rao,I114,S,1
EEE F215,Tutorial,4,BVVSN Prabhakar Rao,I114,T,9
EEE F215,Tutorial,5,Soumya J,I122,S,1
EEE F215,Tutorial,6,Soumya J,I122,T,9
EEE F215,Tutorial,7,Sourav Nandi,I210,S,1
EEE F215,Tutorial,8,Sourav Nandi,I210,T,9
EEE F215,Tutorial,9,Subhradeep Pal,I211,S,1
EEE F215,Tutorial,10,Subhradeep Pal,I211,T,9
EEE F216,ELECTRONIC DEVICE SIMULATION LAB,1,SAYAN KANUNGO,I124,M W,4 5
EEE F311,COMMUNICATION SYSTEMS,1,PRASANT KUMAR P,F105,T Th S,3
EEE F311,COMMUNICATION SYSTEMS,2,Niladri Das,F104,T Th S,3
EEE F311,Practical,1,Niladri Das,H106,M,4 5
EEE F311,Practical,2,Niladri Das,H106,W,4 5
EEE F311,Practical,3,Runa Kumari,H106,T,7 8
EEE F311,Practical,4,Prasant Kumar P,H106,Th,7 8
EEE F311,Practical,5,Atri Mukhopadhyay,H106,F,4 5
EEE F311,Practical,6,Atri Mukhopadhyay,H106,M,6 7
EEE F311,Tutorial,1,Niladri Das,I114,M,1
EEE F311,Tutorial,2,Runa Kumari,I114,F,1
EEE F311,Tutorial,3,Runa Kumari,I114,W,1
EEE F311,Tutorial,4,Prasant Kumar P,I122,M,1
EEE F311,Tutorial,5,Prasant Kumar P,I122,W,1
EEE F313,ANALOG & DIGITAL VLSI DES,1,S K CHATTERJEE,F104,M W F,7
EEE F313,Tutorial,1,S K Chatterjee,I211,T,1
EEE F313,Tutorial,2,Syed Ershad Ahmed,I211,F,1
EEE F313,Tutorial,3,Syed Ershad Ahmed,I211,W,1
EEE F313,Tutorial,4,Syed Ershad Ahmed,I221,Th,1
EEE F411,INTERNET OF THINGS,1,ATRI MUKHOPADHYAY,F106,T Th S,2
EEE F411,Practical,1,Atri Mukhopadhyay,J105,Th,7 8
EEE F411,Practical,2,Atri Mukhopadhyay,J105,W,4 5
EEE F411,Practical,3,Ponnalagu R N,J105,M,4 5
EEE F411,Practical,4,Ponnalagu R N,J105,W,6 7
EEE F422,MODERN CONTROL SYSTEMS,1,PRATYUSH CHAKRABORT,I111,M W F,2
EEE F424,SMART GRID FOR SUSTAINABLE ENERGY,1,PRATYUSH CHAKRABORT,I112,T Th S,4
EEE F434,DIGITAL SIGNAL PROCESS,1,VENKATESWARAN R,F104,T Th S,5
EEE F434,Practical,1,Venkateswaran R,I011,F,4 5
EEE F434,Practical,2,Himanshi Awasthi,I011,T,7 8
EEE F434,Practical,3,Rajesh Kumar Tripathy,I011,W,4 5
EEE F434,Practical,4,Rajesh Kumar Tripathy,I011,M,4 5
EEE F434,Tutorial,1,Venkateswaran R,I221,M,1
EEE F434,Tutorial,2,Venkateswaran R,I221,W,1
EEE F434,Tutorial,3,S K Sahoo,I222,M,1
EEE G510,RF MICROELECTRONICS,1,SOURAV NANDI,I211,M W F,5
EEE G510,Practical,1,Sourav Nandi,I115,T Th,4 5
EEE G512,EMBEDDED SYSTEM DESIGN,1,SYED ERSHAD AHMED,F108,M W F,3
EEE G512,Practical,1,Syed Ershad Ahmed,J105,T,7 8
EEE G513,MACHINE LEARNING FOR ELECTRONICS ENGINEERS,1,PRASHANT WALI,J121,M W F,4
EEE G513,Practical,1,Cynthia C,J105,T Th,9 10
EEE G581,RF & MICROWAVE ENGG,1,HARISH VIJAY DIXIT,I221,T Th S,4
EEE G581,Practical,1,Neha Parmar,K125,M W,9 10
EEE G591,OPTICAL COMMUNICATION,1,SUBHRADEEP PAL,J206,M W F,3
EEE G591,Practical,1,Subhradeep Pal,J106,M W,8 9
EEE G612,CODING THEORY & PRACTICE,1,RUNA KUMARI,I222,M W F,4
EEE G612,Practical,1,Ch Suresh Kumar,H106,T S,2 3
EEE G613,ADV DIGITAL SIGNAL PROC,1,RAJESH KUMAR TRIPATHY,I221,M W F,2
EEE G613,Practical,1,Rajesh Kumar Tripathy,I011,M F,7 8
EEE G614,ADVANCED WIRELESS COMMUNICATIONS,1,PRASHANT WALI,I211,T Th S,3
EEE G614,Practical,1,Prashant Wali,LAB,F,8 9
EEE G614,Practical,1,Prashant Wali,LAB,S,4 5
EEE G626,HARDWARE SOFTWARE CO-DSN,1,AMIT KUMAR PANDA,J121,M W F,3
EEE G626,Practical,1,Amit Kumar Panda,J105,M,7 8
FIN F311,DERIVATIVES & RISK MGMT,1,SHREYA BISWAS,F208,T Th S,4
FIN F313,SECUR ANAL & PORTFOL MGT,1,SHREYA BISWAS,F208,M W F,8
FIN F313,SECUR ANAL & PORTFOL MGT,2,C H Yaganti,G105,M W F,8
FIN F315,FINANCIAL MANAGEMENT,1,NIVEDITA SINHA,F208,T Th S,2
FIN F414,FINANCIAL RISK ANALYTICS AND MANAGEMENT,1,T NAGARAJU,J218,M W F,3
GS F211,MODERN POLITICAL CONCEPTS,1,LAVANYA SURESH,J107,T Th S,3
GS F233,PUBLIC POLICY,1,HARSH MITTAL,J119,M W F,9
GS F245,EFFECTIVE PUBLIC SPEAK,1,SANTOSH  MAHAPATRA,J120,M W F,7
GS F312,APPLIED PHILOSOPHY,1,JAYESH A K,J115,T Th S,2
GS F322,CRITI ANAL OF LIT & CINE,1,MG PRASUNA,J119,M W F,3
HSS F228,PHONETICS & SPOKEN ENGL,1,PRANESH BHARGAVA,J115,T Th S,3
HSS F235,INTRODUCTORY PHILOSOPHY,1,JAYESH A K,J115,M W F,9
HSS F237,CONTEMPORARY INDIAN ENGLISH FICTION,1,MAYA VINAI,J120,T Th S,3
HSS F247,SOCIAL INFORMATICS,1,SANTOSH  MAHAPATRA,J120,T Th S,4
HSS F249,POLITICS IN INDIA,1,LAVANYA SURESH,J107,M W F,2
HSS F251,INTR TO DISCOURSE AND CONVERSATIONAL ANALYSIS,1,PRANESH BHARGAVA,J115,M W F,7
HSS F318,INTRO TO ANTHROPOLOGY,1,SUCHISMITA SATPATHY,J120,M W F,9
HSS F325,CINEMATIC ADAPTATION,1,SHILPAA ANAND,J214,M W F,3
HSS F328,HUMAN RESOURCES DEV,1,SWATI ALOK,J217,T Th S,3
HSS F331,SANKARA'S THOUGHTS,1,MAYA VINAI,J206,M W F,9
HSS F336,MODERN FICTION,1,VIJAY KUMAR TADAKAMAL,J119,T Th S,2
HSS F337,ENGLISH LITERARY FORMS AND MOVEMENTS,1,MG PRASUNA,J119,M W F,7
HSS F338,COMPARATIVE INDIAN LIT,1,VIJAY KUMAR TADAKAMAL,J121,M W F,9
HSS F346,INTERNATIONAL RELATIONS,1,SUCHISMITA SATPATHY,J115,T Th S,4
HSS F349,ECOCRITICISM,1,TONY SEBASTIAN,J214,M W F,9
HSS F361,URBAN POLICY AND GOVERNANCE,1,HARSH MITTAL,J219,T Th S,3
HSS F363,DISASTER AND DEVELOPMENT,1,BISWANATH DASH,J107,T Th S,2
HSS F365,SCIENCE OF SUSTAINABLE HAPPINESS,1,ARUNA LOLLA,J121,M W F,7
HSS F378,CINEMAS OF INDIA: FROM PAST TO PRESENT,1,SPANDAN BHATTACHARYA,J214,M W F,2
INSTR F211,ELECTRICAL MACHINES,1,ALIVELU MANGA PARIMI,F105,M W F,2
INSTR F211,ELECTRICAL MACHINES,2,Ankur Bhattacharjee,F104,M W F,2
INSTR F211,Practical,1,Alivelu Manga Parimi,WS,T,2 3
INSTR F211,Practical,2,Alivelu Manga Parimi,WS,Th,2 3
INSTR F211,Practical,3,Ankur Bhattacharjee,WS,M,6 7
INSTR F211,Practical,4,N Praneeth,WS,W,6 7
INSTR F211,Practical,5,Manoj Samal,WS,F,6 7
INSTR F211,Practical,6,N Praneeth,WS,T,6 7
INSTR F211,Practical,7,Gorityala Aishvaria,WS,Th,6 7
INSTR F211,Practical,8,Kurakula Anudeep,WS,S,2 3
INSTR F211,Practical,9,TO BE ANNOUNCED,WS,S,6 7
INSTR F211,Practical,10,TO BE ANNOUNCED,WS,S,8 9
INSTR F211,Tutorial,1,Alivelu Manga Parimi,I111,Th,1
INSTR F211,Tutorial,2,Alivelu Manga Parimi,I212,T,9
INSTR F211,Tutorial,3,Ankur Bhattacharjee,I213,S,1
INSTR F211,Tutorial,4,Ankur Bhattacharjee,I213,T,9
INSTR F211,Tutorial,5,Sudha Radhika,I221,S,1
INSTR F211,Tutorial,6,Sudha Radhika,I221,T,9
INSTR F211,Tutorial,7,TO BE ANNOUNCED,I222,S,1
INSTR F211,Tutorial,8,TO BE ANNOUNCED,I222,T,9
INSTR F212,ELECTROMAGNETIC THEORY I,1,SASHIDEEP GUTTI,F107,T Th S,4
INSTR F212,ELECTROMAGNETIC THEORY I,2,VSN Murthy,F108,T Th S,4
INSTR F212,ELECTROMAGNETIC THEORY I,3,Subhash N. Karbelkar,G205,T Th S,4
INSTR F212,ELECTROMAGNETIC THEORY I,4,Rahul Nigam,G206,T Th S,4
INSTR F212,ELECTROMAGNETIC THEORY I,5,Swastik Bhattacharya,G207,T Th S,4
INSTR F212,ELECTROMAGNETIC THEORY I,6,K V Shiv Chaitanya,G208,T Th S,4
